First         Last        Q0  Q1  Q2  Q3  Q4  Q5  Q6  Q7  Q8  Q9  L0  L1  L2  L3  L4  L5  L6  L7  L8  L9  P0  P1  P2  E0  E1  E2  FI  ATT 
------------------------------------------------------------------------------------------------------------------------------------------
Kevin         Smith       90  100 100 100 98  97  87  100 85  87  89  100 100 100 100 90  100 98  90  100 98  98  98  90  90  98  88  0.00
Morgan        Kelly       80  100 65  67  69  71  100 100 100 67  95  85  87  89  100 65  67  69  71  100 98  98  98  65  67  69  71  0.10
Isaac         Newton      100 90  100 90  100 90  100 90  100 100 100 100 100 100 100 100 100 100 100 100 98  98  98  90  90  98  88  0.00
Cole          Jones       100 100 100 87  73  75  77  79  81  87  89  91  73  75  77  79  81  100 100 100 98  100 65  67  69  71  63  0.05
Angela        Allen       100 100 100 87  89  91  93  95  100 100 100 100 100 100 100 95  97  100 98  98  98  90  73  75  77  79  81  0.02
David         Cooper      56  58  60  62  64  100 100 100 87  73  75  77  100 100 77  79  81  100 100 100 98  70  72  74  76  78  88  0.00
Nancy         Bailey      100 87  89  91  93  95  100 100 100 100 100 100 91  93  95  97  100 98  100 100 98  98  98  90  90  98  88  0.00
Emily         Synder      65  67  69  71  62  64  73  75  77  58  60  62  79  66  68  70  72  81  74  76  78  90  90  74  76  98  88  0.00
Lori          Austin      100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 98  98  98  90  90  98  88  0.02
Jenny         Howard      56  58  60  62  71  62  64  73  100 66  68  70  72  74  76  78  100 100 100 60  62  79  66  68  70  68  70  0.03
Anne          Lewis       100 86  58  60  100 71  62  64  73  94  66  68  90  72  74  76  78  67  68  69  70  71  98  88  76  78  68  0.04
Nick          Johnson     100 100 89  91  73  75  77  79  81  100 100 100 98  100 100 95  85  87  89  100 98  98  98  80  76  78  98  0.01
Nick          Spickler    100 93  95  97  100 98  98  98  90  100 89  91  93  95  97  100 100 89  91  93  95  97  98  98  90  90  98  0.00
Joy           Williams    75  77  58  60  62  79  66  68  70  72  81  100 100 71  62  64  73  94  66  98  90  90  98  68  90  88  77  0.00
Barbara       Hood        100 67  95  85  87  89  91  93  95  97  85  87  100 100 100 71  62  64  73  94  66  68  98  98  90  90  88  0.00
Joe           Hoarn       62  63  64  65  66  67  68  69  70  71  100 81  100 100 71  62  64  73  100 100 98  98  64  73  94  66  68  0.08
Payton        Bardzell    100 100 100 97  87  67  95  85  87  89  91  93  95  97  100 100 100 95  85  87  89  100 98  90  90  78  98  0.00
Kim           Ludwig      71  62  64  73  75  77  58  60  62  79  66  68  70  72  81  100 100 79  66  68  70  72  98  98  90  90  98  0.09
Susan         Honks       100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 90  90  88  100 100 100 100 0.00
